MINIREK BAROMETER ALTITUDE	MINIREK BAROMETER ALTITUDE	MINIREK BAROMETER PRESSURE	MINIREK BAROMETER PRESSURE	MINIREK BAROMETER ALTITUDE	MINIREK BAROMETER ALTITUDE	SYSTEM META RECEIVED_TIMESECONDS	SYSTEM META RECEIVED_TIMESECONDS	
X	Y	X	Y	X	Y	X	Y	
1541280767.1125708	670.4405517578125	93057.0	93057.0	1541281089.0851462	772.3919677734375	1541273220.593049	1541273220.593049	
1541280767.192529	670.4405517578125	93063.0	93063.0	1541281089.117146	771.4050903320312	1541273220.593049	1541273220.593049	
1541280767.224502	670.8847045898438	93059.0	93059.0	1541281089.2452018	772.840576171875	1541273220.593049	1541273220.593049	
1541280767.336384	670.3517456054688	93050.0	93050.0	1541281089.3251278	774.5454711914062	1541273220.593049	1541273220.593049	
1541280767.416348	670.6182250976562	93042.0	93042.0	1541281089.357079	773.8275756835938	1541273220.593049	1541273220.593049	
1541280767.496413	670.5294189453125	93043.0	93043.0	1541281089.46902	773.199462890625	1541273220.593049	1541273220.593049	
1541280767.5763369	670.6182250976562	93049.0	93049.0	1541281089.548801	774.0070190429688	1541273220.593049	1541273220.593049	
1541280767.656395	670.9735717773438	93050.0	93050.0	1541281089.580888	772.5714111328125	1541273220.593049	1541273220.593049	
1541280767.688396	670.9735717773438	93028.0	93028.0	1541281089.692775	772.2125244140625	1541273220.593049	1541273220.593049	
1541280767.81604	671.0623779296875	93013.0	93013.0	1541281089.772614	772.122802734375	1541273220.593049	1541273220.593049	
1541280767.896169	670.7070922851562	93006.0	93006.0	1541281089.82065	771.3153686523438			
1541280767.928103	670.8847045898438	93000.0	93000.0	1541281089.93245	771.4050903320312			
1541280768.0400372	671.0623779296875	93014.0	93014.0	1541281090.012491	771.8536376953125			
1541280768.119992	671.0623779296875	93021.0	93021.0	1541281090.044426	772.5714111328125			
1541280768.152147	670.6182250976562	93020.0	93020.0	1541281090.1563551	772.9302978515625			
1541280768.2639391	670.6182250976562	93015.0	93015.0	1541281090.2361789	772.840576171875			
1541280768.344001	670.6182250976562	93018.0	93018.0	1541281090.316293	772.122802734375			
1541280768.423991	671.0623779296875	93007.0	93007.0	1541281090.396093	772.9302978515625			
1541280768.5039139	671.595458984375	93009.0	93009.0	1541281090.476094	772.30224609375			
1541280768.58395	670.9735717773438	93015.0	93015.0	1541281090.55604	772.6611328125			
1541280768.6158478	671.4177856445312	93015.0	93015.0	1541281090.588058	773.02001953125			
1541280768.727795	671.2401123046875	93019.0	93019.0	1541281090.6999009	772.0330810546875			
1541280768.8076868	671.0623779296875	93008.0	93008.0	1541281090.779815	771.2256469726562			
1541280768.8397949	671.1512451171875	92990.0	92990.0	1541281090.859591	771.8536376953125			
1541280768.9678888	671.506591796875	92971.0	92971.0	1541281090.9395561	772.7508544921875			
1541280769.047738	671.506591796875	92959.0	92959.0	1541281091.019685	772.481689453125			
1541280769.0796459	671.3289184570312	92969.0	92969.0	1541281091.05157	771.0462036132812			
1541280769.1916401	670.8847045898438	92968.0	92968.0	1541281091.147403	770.6873779296875			
1541280769.271595	671.506591796875	92989.0	92989.0	1541281091.227099	772.481689453125			
1541280769.3515048	671.2401123046875	92983.0	92983.0	1541281091.3231769	773.02001953125			
1541280769.4315531	671.9508056640625	92957.0	92957.0	1541281091.4030972	772.0330810546875			
1541280769.5115032	671.4177856445312	92957.0	92957.0	1541281091.483201	773.1097412109375			
1541280769.5435	671.9508056640625	92959.0	92959.0	1541281091.51512	773.7378540039062			
1541280769.655466	671.9508056640625	92961.0	92961.0	1541281091.610924	773.7378540039062			
1541280769.735457	671.506591796875	92951.0	92951.0	1541281091.6908631	774.4556884765625			
1541280769.767194	671.595458984375	92947.0	92947.0	1541281091.7708302	775.44287109375			
1541280769.879195	672.0396728515625	92943.0	92943.0	1541281091.866775	775.3531494140625			
1541280769.959105	672.2173461914062	92946.0	92946.0	1541281091.898748	775.8916015625			
1541280770.039063	671.7731323242188	92940.0	92940.0	1541281092.010847	775.8018798828125			
1541280770.119145	671.9508056640625	92937.0	92937.0	1541281092.090683	774.9044189453125			
1541280770.198955	672.1285400390625	92928.0	92928.0	1541281092.12259	775.5326538085938			
1541280770.230957	671.6842651367188	92945.0	92945.0	1541281092.234497	774.994140625			
1541280770.342965	672.2173461914062	92944.0	92944.0	1541281092.31444	775.44287109375			
1541280770.422922	672.2173461914062	92946.0	92946.0	1541281092.3464499	776.7891845703125			
1541280770.502707	672.57275390625	92939.0	92939.0	1541281092.474282	775.6223754882812			
1541280770.582952	672.66162109375	92933.0	92933.0	1541281092.554087	775.1736450195312			
1541280770.6628978	672.3062133789062	92930.0	92930.0	1541281092.586247	775.5326538085938			
1541280770.694885	672.0396728515625	92934.0	92934.0	1541281092.698118	775.8018798828125			
1541280770.8066921	672.3950805664062	92928.0	92928.0	1541281092.777979	776.5198974609375			
1541280770.8867998	672.66162109375	92921.0	92921.0	1541281092.857843	775.8916015625			
1541280770.966743	672.66162109375	92917.0	92917.0	1541281092.9378629	775.9813842773438			
1541280771.0466619	672.66162109375	92913.0	92913.0	1541281093.0177479	776.4301147460938			
1541280771.126663	672.1285400390625	92915.0	92915.0	1541281093.049707	775.8916015625			
1541280771.158617	672.3950805664062	92902.0	92902.0	1541281093.1617222	776.4301147460938			
1541280771.270543	672.3950805664062	92905.0	92905.0	1541281093.241591	776.87890625			
1541280771.350841	672.9281616210938	92898.0	92898.0	1541281093.273831	776.5198974609375			
1541280771.4304278	672.66162109375	92903.0	92903.0	1541281093.401688	778.4947509765625			
1541280771.510528	672.7504272460938	92903.0	92903.0	1541281093.4815419	778.0458374023438			
1541280771.590463	672.8392944335938	92897.0	92897.0	1541281093.513463	777.9561157226562			
1541280771.622339	672.7504272460938	92897.0	92897.0	1541281093.609337	778.7640380859375			
1541280771.734337	673.1058959960938	92895.0	92895.0	1541281093.689278	778.8538208007812			
1541280771.814275	672.8392944335938	92888.0	92888.0	1541281093.769075	779.2129516601562			
1541280771.894374	672.3950805664062	92885.0	92885.0	1541281093.8492239	779.7516479492188			
1541280771.974234	673.1947021484375	92866.0	92866.0	1541281093.929193	779.7516479492188			
1541280772.054123	673.1058959960938	92859.0	92859.0	1541281094.0089731	780.2005615234375			
1541280772.0862248	673.5501708984375	92868.0	92868.0	1541281094.040929	780.9188842773438			
1541280772.182048	673.2835693359375	92874.0	92874.0	1541281094.152931	780.4699096679688			
1541280772.2621498	673.1058959960938	92870.0	92870.0	1541281094.23278	780.02099609375			
1541280772.342071	673.0170288085938	92861.0	92861.0	1541281094.3128471	780.5597534179688			
1541280772.422067	673.1947021484375	92846.0	92846.0	1541281094.392808	780.9188842773438			
1541280772.5019479	673.3724365234375	92830.0	92830.0	1541281094.4726698	779.302734375			
1541280772.5500648	673.2835693359375	92826.0	92826.0	1541281094.5046458	779.302734375			
1541280772.645983	673.3724365234375	92836.0	92836.0	1541281094.616719	778.8538208007812			
1541280772.7257931	673.4613037109375	92829.0	92829.0	1541281094.6963599	778.315185546875			
1541280772.8057542	673.6390380859375	92844.0	92844.0	1541281094.7763011	778.7640380859375			
1541280772.88563	672.8392944335938	92853.0	92853.0	1541281094.856268	778.943603515625			
1541280772.965672	673.2835693359375	92836.0	92836.0	1541281094.936197	778.4947509765625			
1541280773.045559	673.2835693359375	92854.0	92854.0	1541281094.968242	779.0333862304688			
1541280773.0776582	673.3724365234375	92855.0	92855.0	1541281095.0961761	779.3925170898438			
1541280773.189304	673.9055786132812	92831.0	92831.0	1541281095.1760771	779.302734375			
1541280773.26938	673.8167114257812	92823.0	92823.0	1541281095.208041	778.8538208007812			
1541280773.349389	673.1058959960938	92820.0	92820.0	1541281095.3201149	779.1231689453125			
1541280773.429208	673.1947021484375	92824.0	92824.0	1541281095.399956	779.4822998046875			
1541280773.509282	673.7279052734375	92826.0	92826.0	1541281095.431974	779.9312133789062			
1541280773.541194	673.4613037109375	92833.0	92833.0	1541281095.5436668	779.8414306640625			
1541280773.6530821	674.2610473632812	92860.0	92860.0	1541281095.623539	780.8291015625			
1541280773.73298	673.4613037109375	92861.0	92861.0	1541281095.703629	781.278076171875			
1541280773.812779	673.6390380859375	92865.0	92865.0	1541281095.783639	781.81689453125			
1541280773.892831	674.0833129882812	92853.0	92853.0	1541281095.863413	782.6251220703125			
1541280773.9729002	674.2610473632812	92849.0	92849.0	1541281095.895403	782.2659301757812			
1541280774.00471	673.9944458007812	92867.0	92867.0	1541281096.007392	782.2659301757812			
1541280774.116748	674.1721801757812	92869.0	92869.0	1541281096.087175	782.984375			
1541280774.196738	673.8167114257812	92869.0	92869.0	1541281096.167165	783.2538452148438			
1541280774.276644	674.4387817382812	92878.0	92878.0	1541281096.247033	784.2418212890625			
1541280774.356695	673.6390380859375	92872.0	92872.0	1541281096.327138	784.3316650390625			
1541280774.436695	674.0833129882812	92863.0	92863.0	1541281096.359147	782.984375			
1541280774.468631	674.2610473632812	92862.0	92862.0	1541281096.4710348	782.984375			
1541280774.580451	674.5276489257812	92878.0	92878.0	1541281096.550911	784.2418212890625			
1541280774.660554	674.4387817382812	92871.0	92871.0	1541281096.582746	784.0621948242188			
1541280774.7404969	674.2610473632812	92878.0	92878.0	1541281096.710778	783.7029418945312			
1541280774.820292	674.3499145507812	92866.0	92866.0	1541281096.790598	784.1520385742188			
1541280774.900439	674.6165161132812	92862.0	92862.0	1541281096.822606	783.5232543945312			
1541280774.932183	674.1721801757812	92867.0	92867.0	1541281096.934607	783.07421875			
1541280775.044209	673.9055786132812	92865.0	92865.0	1541281097.0147011	782.4454956054688			
1541280775.1241002	674.2610473632812	92876.0	92876.0	1541281097.0465941	782.6251220703125			
1541280775.204152	674.4387817382812	92869.0	92869.0	1541281097.174502	782.5353393554688			
1541280775.283987	674.8831176757812	92875.0	92875.0	1541281097.254362	783.07421875			
1541280775.36403	674.4387817382812	92867.0	92867.0	1541281097.286398	783.792724609375			
1541280775.396085	674.2610473632812	92871.0	92871.0	1541281097.382287	784.8706665039062			
1541280775.491872	674.7942504882812	92882.0	92882.0	1541281097.462261	783.6130981445312			
1541280775.5718741	674.9719848632812	92880.0	92880.0	1541281097.55807	783.2538452148438			
1541280775.668001	674.7053833007812	92874.0	92874.0	1541281097.6380959	782.984375			
1541280775.7478678	674.6165161132812	92881.0	92881.0	1541281097.718009	782.8945922851562			
1541280775.82769	674.7942504882812	92879.0	92879.0	1541281097.7506309	782.355712890625			
1541280775.859709	674.7053833007812	92893.0	92893.0	1541281097.845815	784.1520385742188			
1541280775.9557602	675.0608520507812	92886.0	92886.0	1541281097.925878	783.1640014648438			
1541280776.035604	675.2385864257812	92892.0	92892.0	1541281098.005831	782.355712890625			
1541280776.1155782	674.8831176757812	92893.0	92893.0	1541281098.085709	784.3316650390625			
1541280776.195443	675.0608520507812	92896.0	92896.0	1541281098.167233	783.792724609375			
1541280776.27546	674.7942504882812	92897.0	92897.0	1541281098.1976871	783.9723510742188			
1541280776.3075042	675.0608520507812	92892.0	92892.0	1541281098.3096619	784.2418212890625			
1541280776.41938	674.4387817382812	92892.0	92892.0	1541281098.389597	784.5113525390625			
1541280776.499382	675.0608520507812	92908.0	92908.0	1541281098.469583	784.7808227539062			
1541280776.5793438	674.8831176757812	92901.0	92901.0	1541281098.549566	785.05029296875			
1541280776.659234	675.1497192382812	92908.0	92908.0	1541281098.6292999	785.7689819335938			
1541280776.7391841	675.2385864257812	92899.0	92899.0	1541281098.66122	785.5892944335938			
1541280776.771232	675.5941162109375	92894.0	92894.0	1541281098.773223	785.4096069335938			
1541280776.899007	675.3275146484375	92890.0	92890.0	1541281098.853311	784.1520385742188			
1541280776.979069	675.2385864257812	92889.0	92889.0	1541281098.933044	784.4215087890625			
1541280777.011064	675.5052490234375	92887.0	92887.0	1541281099.013003	785.22998046875			
1541280777.106886	675.4163818359375	92890.0	92890.0	1541281099.092848	785.8588256835938			
